regime,prevalence,policy,knob,coverage,escalation_rate,false_reject_rate,false_accept_rate,cost_per_item
native,0.74375,naive,0.2550072564482689,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.28334139605363207,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.3116755356589953,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.3400096752643585,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.36834381486972173,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.3966779544750849,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.42501209408044816,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.45334623368581134,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.4816803732911745,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.5100145128965378,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.538348652501901,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.5666827921072641,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.5950169317126274,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.6233510713179906,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.6516852109233539,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.680019350528717,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.7083534901340802,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.7366876297394435,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.7650217693448066,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.7933559089501698,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.8216900485555331,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.8500241881608963,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.8783583277662594,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.9066924673716227,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.9350266069769859,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.963360746582349,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,0.9916948861877123,1.0,0.0,1.0,0.0,0.76875
native,0.74375,naive,1.0200290257930755,0.99375,0.00625,1.0,0.0,0.775
native,0.74375,naive,1.0483631653984387,0.9875,0.0125,1.0,0.0,0.78125
native,0.74375,naive,1.076697305003802,0.95,0.05,1.0,0.0,0.7625
native,0.74375,naive,1.1050314446091651,0.86875,0.13125,1.0,0.0,0.76875
native,0.74375,naive,1.1333655842145283,0.73125,0.26875,1.0,0.0,0.79375
native,0.74375,naive,1.1616997238198916,0.6375,0.3625,1.0,0.0,0.79375
native,0.74375,naive,1.1900338634252547,0.5625,0.4375,1.0,0.0,0.79375
native,0.74375,naive,1.2183680030306179,0.46875,0.53125,1.0,0.0,0.8125
native,0.74375,naive,1.2467021426359812,0.35,0.65,1.0,0.0,0.85625
native,0.74375,naive,1.2750362822413444,0.2875,0.7125,1.0,0.0,0.9
native,0.74375,naive,1.3033704218467077,0.24375,0.75625,1.0,0.0,0.94375
native,0.74375,naive,1.3317045614520708,0.2,0.8,1.0,0.0,0.96875
native,0.74375,naive,1.360038701057434,0.16875,0.83125,1.0,0.0,0.9625
native,0.74375,naive,1.3883728406627973,0.11875,0.88125,1.0,0.0,0.95625
native,0.74375,naive,1.4167069802681604,0.09375,0.90625,1.0,0.0,0.98125
native,0.74375,naive,1.4450411198735236,0.075,0.925,1.0,0.0,0.98125
native,0.74375,naive,1.473375259478887,0.0625,0.9375,1.0,0.0,0.99375
native,0.74375,naive,1.50170939908425,0.05,0.95,1.0,0.0,0.9875
native,0.74375,naive,1.5300435386896132,0.04375,0.95625,1.0,0.0,0.99375
native,0.74375,naive,1.5583776782949765,0.0375,0.9625,1.0,0.0,1.0
native,0.74375,naive,1.5867118179003397,0.0375,0.9625,1.0,0.0,1.0
native,0.74375,naive,1.6150459575057028,0.025,0.975,1.0,0.0,0.99375
native,0.74375,naive,1.6433800971110661,0.0125,0.9875,1.0,0.0,1.00625
native,0.74375,naive,1.6717142367164293,0.0125,0.9875,1.0,0.0,1.00625
native,0.74375,naive,1.7000483763217926,0.0,1.0,,,1.0
target_0.02,0.02,ours,0.0,0.0,1.0,,,1.0
target_0.02,0.02,ours,0.040769230769230766,0.0,1.0,,,1.0
target_0.02,0.02,ours,0.08153846153846153,0.0008403361344537815,0.9991596638655462,,1.0,1.007563025210084
target_0.02,0.02,ours,0.1223076923076923,0.0733879893420783,0.9266120106579218,0.0,1.0,0.9434187333469973
target_0.02,0.02,ours,0.16307692307692306,0.6071408075425293,0.3928591924574708,0.0,1.0,0.48865751178520195
target_0.02,0.02,ours,0.20384615384615384,0.6317155154744825,0.36828448452551754,0.0,1.0,0.47080549292887885
target_0.02,0.02,ours,0.2446153846153846,0.6817052674728428,0.3182947325271572,0.0,1.0,0.44266448042631695
target_0.02,0.02,ours,0.28538461538461535,0.7316950194712032,0.26830498052879687,0.0,1.0,0.41452346792375494
target_0.02,0.02,ours,0.3261538461538461,0.8793113342898135,0.12068866571018652,0.0,1.0,0.3089239598278336
target_0.02,0.02,ours,0.3669230769230769,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,0.4076923076923077,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,0.4484615384615384,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,0.4892307692307692,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,0.5299999999999999,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,0.5707692307692307,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,0.6115384615384615,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,0.6523076923076923,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,0.693076923076923,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,0.7338461538461538,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,0.7746153846153846,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,0.8153846153846154,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,0.856153846153846,1.0,0.0,0.0,1.0,0.19999999999999998
target_0.02,0.02,ours,0.8969230769230768,1.0,0.0,0.0,1.0,0.19999999999999998
