regime,naive_cost,break_even_cost,review_cost,ours_cost,escalation_rate,beats_naive
native,0.76875,0.8884615384615384,0.0,0.0,1.0,True
native,0.76875,0.8884615384615384,0.02019230769230769,0.020192307692307686,1.0,True
native,0.76875,0.8884615384615384,0.04038461538461538,0.04038461538461537,1.0,True
native,0.76875,0.8884615384615384,0.06057692307692307,0.06057692307692307,1.0,True
native,0.76875,0.8884615384615384,0.08076923076923076,0.08076923076923075,1.0,True
native,0.76875,0.8884615384615384,0.10096153846153845,0.10096153846153846,1.0,True
native,0.76875,0.8884615384615384,0.12115384615384614,0.12115384615384614,1.0,True
native,0.76875,0.8884615384615384,0.14134615384615384,0.14134615384615382,1.0,True
native,0.76875,0.8884615384615384,0.16153846153846152,0.1615384615384615,1.0,True
native,0.76875,0.8884615384615384,0.1817307692307692,0.18173076923076922,1.0,True
native,0.76875,0.8884615384615384,0.2019230769230769,0.20192307692307693,1.0,True
native,0.76875,0.8884615384615384,0.2221153846153846,0.22211538461538455,1.0,True
native,0.76875,0.8884615384615384,0.24230769230769228,0.24230769230769228,1.0,True
native,0.76875,0.8884615384615384,0.26249999999999996,0.2625,1.0,True
native,0.76875,0.8884615384615384,0.2826923076923077,0.28269230769230763,1.0,True
native,0.76875,0.8884615384615384,0.30288461538461536,0.30288461538461536,1.0,True
native,0.76875,0.8884615384615384,0.32307692307692304,0.323076923076923,1.0,True
native,0.76875,0.8884615384615384,0.3432692307692307,0.3432692307692307,1.0,True
native,0.76875,0.8884615384615384,0.3634615384615384,0.36346153846153845,1.0,True
native,0.76875,0.8884615384615384,0.3836538461538461,0.3836538461538462,1.0,True
native,0.76875,0.8884615384615384,0.4038461538461538,0.40384615384615385,1.0,True
native,0.76875,0.8884615384615384,0.4240384615384615,0.4240384615384615,1.0,True
native,0.76875,0.8884615384615384,0.4442307692307692,0.4442307692307691,1.0,True
native,0.76875,0.8884615384615384,0.4644230769230769,0.46442307692307694,1.0,True
native,0.76875,0.8884615384615384,0.48461538461538456,0.526298076923077,0.93125,True
native,0.76875,0.8884615384615384,0.5048076923076923,0.5451021634615386,0.93125,True
native,0.76875,0.8884615384615384,0.5249999999999999,0.5948437500000001,0.91875,True
native,0.76875,0.8884615384615384,0.5451923076923076,0.6270432692307691,0.875,True
native,0.76875,0.8884615384615384,0.5653846153846154,0.6422596153846153,0.8375,True
native,0.76875,0.8884615384615384,0.585576923076923,0.634453125,0.73125,True
native,0.76875,0.8884615384615384,0.6057692307692307,0.6492187499999998,0.73125,True
native,0.76875,0.8884615384615384,0.6259615384615383,0.6396995192307692,0.6625,True
native,0.76875,0.8884615384615384,0.6461538461538461,0.6597115384615384,0.64375,True
native,0.76875,0.8884615384615384,0.6663461538461538,0.6643810096153847,0.63125,True
native,0.76875,0.8884615384615384,0.6865384615384614,0.6701322115384615,0.59375,True
native,0.76875,0.8884615384615384,0.7067307692307692,0.6787860576923078,0.5625,True
native,0.76875,0.8884615384615384,0.7269230769230768,0.6901442307692307,0.5625,True
native,0.76875,0.8884615384615384,0.7471153846153845,0.7015024038461537,0.5625,True
native,0.76875,0.8884615384615384,0.7673076923076922,0.6984735576923077,0.54375,True
native,0.76875,0.8884615384615384,0.7874999999999999,0.7094531249999998,0.54375,True
native,0.76875,0.8884615384615384,0.8076923076923076,0.7204326923076924,0.54375,True
native,0.76875,0.8884615384615384,0.8278846153846153,0.7314122596153846,0.54375,True
native,0.76875,0.8884615384615384,0.848076923076923,0.7317908653846154,0.53125,True
native,0.76875,0.8884615384615384,0.8682692307692307,0.7425180288461538,0.53125,True
native,0.76875,0.8884615384615384,0.8884615384615384,0.7421394230769229,0.51875,True
native,0.76875,0.8884615384615384,0.908653846153846,0.8009314903846153,0.46875,False
native,0.76875,0.8884615384615384,0.9288461538461538,0.815733173076923,0.39375,False
native,0.76875,0.8884615384615384,0.9490384615384614,0.8443449519230768,0.35625,False
native,0.76875,0.8884615384615384,0.9692307692307691,0.8659615384615386,0.29375,False
native,0.76875,0.8884615384615384,0.9894230769230768,0.8844591346153845,0.2875,False
native,0.76875,0.8884615384615384,1.0096153846153846,0.9086538461538461,0.25,False
native,0.76875,0.8884615384615384,1.0298076923076922,0.873966346153846,0.175,False
native,0.76875,0.8884615384615384,1.0499999999999998,0.825,0.125,False
native,0.76875,0.8884615384615384,1.0701923076923077,0.7994531250000001,0.08125,False
native,0.76875,0.8884615384615384,1.0903846153846153,0.8010937499999999,0.08125,False
native,0.76875,0.8884615384615384,1.110576923076923,0.802734375,0.08125,False
native,0.76875,0.8884615384615384,1.1307692307692307,0.8043750000000001,0.08125,False
native,0.76875,0.8884615384615384,1.1509615384615384,0.8060156249999999,0.08125,False
native,0.76875,0.8884615384615384,1.171153846153846,0.80765625,0.08125,False
native,0.76875,0.8884615384615384,1.1913461538461536,0.8018509615384616,0.075,False
native,0.76875,0.8884615384615384,1.2115384615384615,0.7882211538461539,0.0625,False
native,0.76875,0.8884615384615384,1.231730769230769,0.7928365384615385,0.05,False
native,0.76875,0.8884615384615384,1.2519230769230767,0.7938461538461539,0.05,False
native,0.76875,0.8884615384615384,1.2721153846153845,0.7948557692307692,0.05,False
native,0.76875,0.8884615384615384,1.2923076923076922,0.7984615384615383,0.0375,False
native,0.76875,0.8884615384615384,1.3124999999999998,0.809765625,0.03125,False
native,0.76875,0.8884615384615384,1.3326923076923076,0.8103966346153847,0.03125,False
native,0.76875,0.8884615384615384,1.3528846153846152,0.8110276442307691,0.03125,False
native,0.76875,0.8884615384615384,1.3730769230769229,0.8116586538461539,0.03125,False
native,0.76875,0.8884615384615384,1.3932692307692307,0.8122896634615385,0.03125,False
native,0.76875,0.8884615384615384,1.4134615384615383,0.8129206730769232,0.03125,False
native,0.76875,0.8884615384615384,1.433653846153846,0.8045913461538461,0.025,False
native,0.76875,0.8884615384615384,1.4538461538461536,0.8050961538461537,0.025,False
native,0.76875,0.8884615384615384,1.4740384615384614,0.8056009615384616,0.025,False
native,0.76875,0.8884615384615384,1.494230769230769,0.8061057692307692,0.025,False
native,0.76875,0.8884615384615384,1.5144230769230766,0.7876802884615385,0.0125,False
native,0.76875,0.8884615384615384,1.5346153846153845,0.7783413461538461,0.00625,False
native,0.76875,0.8884615384615384,1.5548076923076921,0.7784675480769231,0.00625,False
native,0.76875,0.8884615384615384,1.5749999999999997,0.77859375,0.00625,False
native,0.76875,0.8884615384615384,1.5951923076923076,0.7787199519230769,0.00625,False
native,0.76875,0.8884615384615384,1.6153846153846152,0.7788461538461539,0.00625,False
native,0.76875,0.8884615384615384,1.6355769230769228,0.7789723557692307,0.00625,False
native,0.76875,0.8884615384615384,1.6557692307692307,0.7790985576923077,0.00625,False
native,0.76875,0.8884615384615384,1.6759615384615383,0.7792247596153846,0.00625,False
native,0.76875,0.8884615384615384,1.696153846153846,0.7793509615384615,0.00625,False
native,0.76875,0.8884615384615384,1.7163461538461537,0.7794771634615385,0.00625,False
native,0.76875,0.8884615384615384,1.7365384615384614,0.7796033653846154,0.00625,False
native,0.76875,0.8884615384615384,1.756730769230769,0.7797295673076923,0.00625,False
native,0.76875,0.8884615384615384,1.7769230769230768,0.7798557692307693,0.00625,False
native,0.76875,0.8884615384615384,1.7971153846153844,0.7799819711538462,0.00625,False
native,0.76875,0.8884615384615384,1.817307692307692,0.76875,0.0,True
native,0.76875,0.8884615384615384,1.8374999999999997,0.76875,0.0,True
native,0.76875,0.8884615384615384,1.8576923076923075,0.76875,0.0,True
native,0.76875,0.8884615384615384,1.8778846153846152,0.76875,0.0,True
native,0.76875,0.8884615384615384,1.8980769230769228,0.76875,0.0,True
native,0.76875,0.8884615384615384,1.9182692307692306,0.76875,0.0,True
native,0.76875,0.8884615384615384,1.9384615384615382,0.76875,0.0,True
native,0.76875,0.8884615384615384,1.9586538461538459,0.76875,0.0,True
native,0.76875,0.8884615384615384,1.9788461538461537,0.76875,0.0,True
native,0.76875,0.8884615384615384,1.9990384615384613,0.76875,0.0,True
native,0.76875,0.8884615384615384,2.019230769230769,0.76875,0.0,True
native,0.76875,0.8884615384615384,2.0394230769230766,0.76875,0.0,True
native,0.76875,0.8884615384615384,2.0596153846153844,0.76875,0.0,True
native,0.76875,0.8884615384615384,2.0798076923076922,0.76875,0.0,True
native,0.76875,0.8884615384615384,2.0999999999999996,0.76875,0.0,True
native,0.76875,0.8884615384615384,2.1201923076923075,0.76875,0.0,True
native,0.76875,0.8884615384615384,2.1403846153846153,0.76875,0.0,True
native,0.76875,0.8884615384615384,2.1605769230769227,0.76875,0.0,True
native,0.76875,0.8884615384615384,2.1807692307692306,0.76875,0.0,True
native,0.76875,0.8884615384615384,2.2009615384615384,0.76875,0.0,True
native,0.76875,0.8884615384615384,2.221153846153846,0.76875,0.0,True
native,0.76875,0.8884615384615384,2.2413461538461537,0.76875,0.0,True
native,0.76875,0.8884615384615384,2.2615384615384615,0.76875,0.0,True
native,0.76875,0.8884615384615384,2.281730769230769,0.76875,0.0,True
native,0.76875,0.8884615384615384,2.3019230769230767,0.76875,0.0,True
native,0.76875,0.8884615384615384,2.322115384615384,0.76875,0.0,True
native,0.76875,0.8884615384615384,2.342307692307692,0.76875,0.0,True
native,0.76875,0.8884615384615384,2.3625,0.76875,0.0,True
native,0.76875,0.8884615384615384,2.382692307692307,0.76875,0.0,True
native,0.76875,0.8884615384615384,2.402884615384615,0.76875,0.0,True
native,0.76875,0.8884615384615384,2.423076923076923,0.76875,0.0,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,0.0,0.0,1.0,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,0.025485436893203883,0.025485436893203893,1.0,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,0.050970873786407765,0.050970873786407786,1.0,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,0.07645631067961164,0.07645631067961164,1.0,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,0.10194174757281553,0.10194174757281557,1.0,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,0.12742718446601942,0.12742718446601936,1.0,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,0.1529126213592233,0.1529126213592233,1.0,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,0.1783980582524272,0.17839805825242722,1.0,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,0.20388349514563106,0.20388349514563114,1.0,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,0.22936893203883493,0.22936893203883502,1.0,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,0.25485436893203883,0.2548543689320387,1.0,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,0.2803398058252427,0.2803398058252426,1.0,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,0.3058252427184466,0.3058252427184466,1.0,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,0.33131067961165045,0.33131067961165045,1.0,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,0.3567961165048544,0.35679611650485443,1.0,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,0.38228155339805825,0.3822815533980583,1.0,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,0.4077669902912621,0.4077669902912623,1.0,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,0.433252427184466,0.4332524271844661,1.0,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,0.45873786407766987,0.45873786407767003,1.0,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,0.4842233009708738,0.5009486415925596,0.9998319327731092,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,0.5097087378640777,0.5264297952190583,0.9998319327731092,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,0.5351941747572815,0.5519109488455575,0.9998319327731092,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,0.5606796116504854,0.5773921024720565,0.9998319327731092,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,0.5861650485436893,0.6028732560985558,0.9998319327731092,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,0.6116504854368932,0.6283544097250551,0.9998319327731092,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,0.6371359223300971,0.6538355633515542,0.9998319327731092,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,0.6626213592233009,0.6793167169780533,0.9998319327731092,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,0.6881067961165048,0.7214889450926003,0.9996638655462184,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,0.7135922330097088,0.7803393978950804,0.999327731092437,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,0.7390776699029126,0.8058077017214653,0.999327731092437,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,0.7645631067961165,0.8479542302357839,0.9991596638655462,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,0.7900485436893203,0.8734182507954639,0.9991596638655462,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,0.8155339805825242,0.8988822713551443,0.9991596638655462,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,0.8410194174757282,0.9243462919148243,0.9991596638655462,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,0.866504854368932,0.9498103124745045,0.9991596638655462,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,0.8919902912621359,0.9752743330341851,0.9991596638655462,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,0.9174757281553397,1.000738353593865,0.9991596638655462,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,0.9429611650485437,0.9977724724746638,0.9511867185898751,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,0.9684466019417476,1.02201388156494,0.9511867185898751,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,0.9939320388349514,1.0462552906552158,0.9511867185898751,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,1.0194174757281553,1.062765527712387,0.927116212338594,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,1.0449029126213591,1.1030245981887896,0.9269481451117032,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,1.070388349514563,1.143275102131783,0.9267800778848125,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,1.095873786407767,1.1835170395413668,0.9266120106579218,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,1.1213592233009708,1.2071321514634739,0.9266120106579218,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,1.1468446601941746,1.2307472633855814,0.9266120106579218,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,1.1723300970873787,1.2543623753076887,0.9266120106579218,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,1.1978155339805825,1.2779774872297958,0.9266120106579218,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,1.2233009708737863,1.3015925991519033,0.9266120106579218,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,1.2487864077669903,1.3252077110740104,0.9266120106579218,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,1.2742718446601942,1.431785619765311,0.925771674523468,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,1.299757281553398,1.4574884983593248,0.901533101045296,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,1.3252427184466018,1.596552413056153,0.9003566304570608,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,1.3507281553398058,1.6194983951430444,0.9003566304570608,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,1.3762135922330097,1.7424089171543593,0.8508710801393728,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,1.4016990291262135,1.746799116283975,0.8025620004099201,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,1.4271844660194175,1.6990263801471337,0.7547571223611396,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,1.4526699029126213,1.7182616951587648,0.7547571223611396,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,1.4781553398058251,1.6955206979784578,0.6581389629022342,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,1.5036407766990292,1.7122936569844611,0.6581389629022342,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,1.529126213592233,1.7290666159904642,0.6581389629022342,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,1.5546116504854368,1.584999164240643,0.48981348637015787,True
target_0.02_realistic,1.9148309079729455,2.2427184466019416,1.5800970873786406,1.59748227493697,0.48981348637015787,True
