regime,prevalence,policy,knob,coverage,escalation_rate,false_reject_rate,false_accept_rate,cost_per_item
native,0.74375,naive,0.01738474256793658,0.9125,0.0875,0.26666666666666666,0.0,0.2375
native,0.74375,naive,0.026077113851904872,0.89375,0.10625,0.21428571428571427,0.0,0.21875
native,0.74375,naive,0.03476948513587316,0.85625,0.14375,0.20833333333333334,0.0,0.2375
native,0.74375,naive,0.04346185641984145,0.84375,0.15625,0.17391304347826086,0.0,0.23125
native,0.74375,naive,0.052154227703809744,0.825,0.175,0.19047619047619047,0.0,0.25
native,0.74375,naive,0.060846598987778035,0.80625,0.19375,0.15789473684210525,0.0,0.25
native,0.74375,naive,0.06953897027174633,0.76875,0.23125,0.11764705882352941,0.0,0.26875
native,0.74375,naive,0.07823134155571462,0.7625,0.2375,0.11764705882352941,0.0,0.275
native,0.74375,naive,0.0869237128396829,0.75,0.25,0.13333333333333333,0.0,0.2875
native,0.74375,naive,0.09561608412365119,0.73125,0.26875,0.16666666666666666,0.0,0.30625
native,0.74375,naive,0.10430845540761949,0.70625,0.29375,0.2222222222222222,0.0,0.33125
native,0.74375,naive,0.11300082669158779,0.6875,0.3125,0.25,0.0,0.35
native,0.74375,naive,0.12169319797555607,0.64375,0.35625,0.4,0.0,0.39375
native,0.74375,naive,0.13038556925952435,0.61875,0.38125,0.3333333333333333,0.0,0.4
native,0.74375,naive,0.13907794054349265,0.59375,0.40625,0.5,0.0,0.425
native,0.74375,naive,0.14777031182746095,0.58125,0.41875,0.5,0.0,0.4375
native,0.74375,naive,0.15646268311142925,0.575,0.425,1.0,0.0,0.44375
native,0.74375,naive,0.16515505439539752,0.55625,0.44375,1.0,0.0,0.4625
native,0.74375,naive,0.1738474256793658,0.54375,0.45625,1.0,0.0,0.475
native,0.74375,naive,0.1825397969633341,0.5375,0.4625,1.0,0.0,0.48125
native,0.74375,naive,0.19123216824730238,0.53125,0.46875,1.0,0.0,0.4875
native,0.74375,naive,0.19992453953127068,0.5,0.5,1.0,0.0,0.51875
native,0.74375,naive,0.20861691081523898,0.49375,0.50625,1.0,0.0,0.525
native,0.74375,naive,0.21730928209920727,0.475,0.525,1.0,0.0,0.54375
native,0.74375,naive,0.22600165338317557,0.44375,0.55625,1.0,0.0,0.575
native,0.74375,naive,0.23469402466714384,0.43125,0.56875,1.0,0.0,0.5875
native,0.74375,naive,0.24338639595111214,0.4125,0.5875,1.0,0.0,0.60625
native,0.74375,naive,0.25207876723508044,0.3875,0.6125,,0.0,0.6125
native,0.74375,naive,0.2607711385190487,0.3625,0.6375,,0.0,0.6375
native,0.74375,naive,0.26946350980301703,0.35625,0.64375,,0.0,0.64375
native,0.74375,naive,0.2781558810869853,0.3375,0.6625,,0.0,0.6625
native,0.74375,naive,0.28684825237095357,0.325,0.675,,0.0,0.675
native,0.74375,naive,0.2955406236549219,0.3125,0.6875,,0.0,0.6875
native,0.74375,naive,0.30423299493889017,0.30625,0.69375,,0.0,0.69375
native,0.74375,naive,0.3129253662228585,0.30625,0.69375,,0.0,0.69375
native,0.74375,naive,0.32161773750682676,0.2875,0.7125,,0.0,0.7125
native,0.74375,naive,0.33031010879079503,0.275,0.725,,0.0,0.725
native,0.74375,naive,0.33900248007476336,0.26875,0.73125,,0.0,0.73125
native,0.74375,naive,0.3476948513587316,0.25625,0.74375,,0.0,0.74375
native,0.74375,naive,0.3563872226426999,0.25,0.75,,0.0,0.75
native,0.74375,naive,0.3650795939266682,0.2375,0.7625,,0.0,0.7625
native,0.74375,naive,0.3737719652106365,0.225,0.775,,0.0,0.775
native,0.74375,naive,0.38246433649460476,0.21875,0.78125,,0.0,0.78125
native,0.74375,naive,0.3911567077785731,0.20625,0.79375,,0.0,0.79375
native,0.74375,naive,0.39984907906254136,0.19375,0.80625,,0.0,0.80625
native,0.74375,naive,0.4085414503465097,0.1875,0.8125,,0.0,0.8125
native,0.74375,naive,0.41723382163047795,0.18125,0.81875,,0.0,0.81875
native,0.74375,naive,0.4259261929144462,0.15625,0.84375,,0.0,0.84375
native,0.74375,naive,0.43461856419841455,0.15625,0.84375,,0.0,0.84375
native,0.74375,naive,0.4433109354823828,0.15,0.85,,0.0,0.85
native,0.74375,naive,0.45200330676635114,0.14375,0.85625,,0.0,0.85625
native,0.74375,naive,0.4606956780503194,0.13125,0.86875,,0.0,0.86875
native,0.74375,naive,0.4693880493342877,0.125,0.875,,0.0,0.875
native,0.74375,naive,0.478080420618256,0.125,0.875,,0.0,0.875
native,0.74375,naive,0.4867727919022243,0.10625,0.89375,,0.0,0.89375
native,0.74375,naive,0.49546516318619255,0.10625,0.89375,,0.0,0.89375
native,0.74375,naive,0.5041575344701609,0.10625,0.89375,,0.0,0.89375
native,0.74375,naive,0.5128499057541291,0.10625,0.89375,,0.0,0.89375
native,0.74375,naive,0.5215422770380974,0.0,1.0,,,1.0
target_0.02,0.02,ours,0.0,0.0,1.0,,,1.0
target_0.02,0.02,ours,0.040769230769230766,0.717409305185489,0.28259069481451116,0.0,1.0,0.2859520393523263
target_0.02,0.02,ours,0.08153846153846153,0.837761836441894,0.16223816355810614,0.0,1.0,0.17400286944045912
target_0.02,0.02,ours,0.1223076923076923,0.8859028489444558,0.11409715105554415,0.0,1.0,0.12922320147571223
