timestamp,run_id,calibration,n,n_normal,n_defective,image_auroc,pi_source,target_prevalence,native_escalation_rate,native_overkill_ours,native_overkill_naive,native_cost_per_item,native_naive_cost_per_item,native_breakeven_review_cost,target_cost_per_item,target_naive_cost_per_item,target_realistic_cost_per_item,target_realistic_naive_cost_per_item,target_realistic_overkill_ours,target_realistic_escape_ours
20260622T215211Z,patchcore-wide_resnet50_2_mvtec-screw_20260622T130823Z,cross_venn_abers,160.0,41.0,119.0,0.9758,0.7438,0.02,0.1625,0.16,0.2927,0.2375,0.225,0.8683,0.1226,0.0908,0.2487,0.3115,0.0,1.0
20260623T143753Z,patchcore-wide_resnet50_2_mvtec-capsule_20260623T142659Z,cross_venn_abers,132.0,23.0,109.0,0.9765,0.8258,0.02,0.1818,0.25,0.2174,0.2045,0.1894,0.8077,0.1551,0.0771,0.1534,0.1829,0.0,1.0
20260702T170401Z,patchcore-wide_resnet50_2_visa-capsules_20260702T170356Z,cross_venn_abers,160.0,60.0,100.0,0.7387,0.625,0.02,0.6813,1.0,0.95,0.7375,1.0688,1.5144,0.1695,0.13,1.1743,1.156,0.0,1.0
