regime,naive_cost,break_even_cost,review_cost,ours_cost,escalation_rate,beats_naive
native,1.06875,1.5144230769230766,0.0,0.0,1.0,True
native,1.06875,1.5144230769230766,0.02019230769230769,0.020192307692307686,1.0,True
native,1.06875,1.5144230769230766,0.04038461538461538,0.04038461538461537,1.0,True
native,1.06875,1.5144230769230766,0.06057692307692307,0.06057692307692307,1.0,True
native,1.06875,1.5144230769230766,0.08076923076923076,0.07925480769230767,0.98125,True
native,1.06875,1.5144230769230766,0.10096153846153845,0.08771033653846153,0.86875,True
native,1.06875,1.5144230769230766,0.12115384615384614,0.10525240384615384,0.86875,True
native,1.06875,1.5144230769230766,0.14134615384615384,0.12279447115384615,0.86875,True
native,1.06875,1.5144230769230766,0.16153846153846152,0.14033653846153843,0.86875,True
native,1.06875,1.5144230769230766,0.1817307692307692,0.15787860576923077,0.86875,True
native,1.06875,1.5144230769230766,0.2019230769230769,0.17542067307692305,0.86875,True
native,1.06875,1.5144230769230766,0.2221153846153846,0.19157451923076918,0.8625,True
native,1.06875,1.5144230769230766,0.24230769230769228,0.20747596153846154,0.85625,True
native,1.06875,1.5144230769230766,0.26249999999999996,0.23859375,0.8375,True
native,1.06875,1.5144230769230766,0.2826923076923077,0.2537379807692307,0.83125,True
native,1.06875,1.5144230769230766,0.30288461538461536,0.2705228365384615,0.83125,True
native,1.06875,1.5144230769230766,0.32307692307692304,0.28730769230769226,0.83125,True
native,1.06875,1.5144230769230766,0.3432692307692307,0.30409254807692304,0.83125,True
native,1.06875,1.5144230769230766,0.3634615384615384,0.3208774038461538,0.83125,True
native,1.06875,1.5144230769230766,0.3836538461538461,0.3352644230769231,0.825,True
native,1.06875,1.5144230769230766,0.4038461538461538,0.3519230769230769,0.825,True
native,1.06875,1.5144230769230766,0.4240384615384615,0.36858173076923073,0.825,True
native,1.06875,1.5144230769230766,0.4442307692307692,0.3928846153846153,0.8,True
native,1.06875,1.5144230769230766,0.4644230769230769,0.40903846153846146,0.8,True
native,1.06875,1.5144230769230766,0.48461538461538456,0.4191346153846154,0.7875,True
native,1.06875,1.5144230769230766,0.5048076923076923,0.43188100961538467,0.78125,True
native,1.06875,1.5144230769230766,0.5249999999999999,0.44437499999999996,0.775,True
native,1.06875,1.5144230769230766,0.5451923076923076,0.46002403846153833,0.775,True
native,1.06875,1.5144230769230766,0.5653846153846154,0.4873557692307692,0.7625,True
native,1.06875,1.5144230769230766,0.585576923076923,0.5027524038461537,0.7625,True
native,1.06875,1.5144230769230766,0.6057692307692307,0.5143629807692307,0.75625,True
native,1.06875,1.5144230769230766,0.6259615384615383,0.5296334134615385,0.75625,True
native,1.06875,1.5144230769230766,0.6461538461538461,0.544903846153846,0.75625,True
native,1.06875,1.5144230769230766,0.6663461538461538,0.5601742788461538,0.75625,True
native,1.06875,1.5144230769230766,0.6865384615384614,0.5754447115384614,0.75625,True
native,1.06875,1.5144230769230766,0.7067307692307692,0.5907151442307692,0.75625,True
native,1.06875,1.5144230769230766,0.7269230769230768,0.6014423076923077,0.75,True
native,1.06875,1.5144230769230766,0.7471153846153845,0.602578125,0.73125,True
native,1.06875,1.5144230769230766,0.7673076923076922,0.6029567307692307,0.7125,True
native,1.06875,1.5144230769230766,0.7874999999999999,0.6124218749999999,0.70625,True
native,1.06875,1.5144230769230766,0.8076923076923076,0.6266826923076922,0.70625,True
native,1.06875,1.5144230769230766,0.8278846153846153,0.6409435096153846,0.70625,True
native,1.06875,1.5144230769230766,0.848076923076923,0.655204326923077,0.70625,True
native,1.06875,1.5144230769230766,0.8682692307692307,0.6640384615384616,0.7,True
native,1.06875,1.5144230769230766,0.8884615384615384,0.661514423076923,0.68125,True
native,1.06875,1.5144230769230766,0.908653846153846,0.6752704326923075,0.68125,True
native,1.06875,1.5144230769230766,0.9288461538461538,0.6890264423076923,0.68125,True
native,1.06875,1.5144230769230766,0.9490384615384614,0.7027824519230768,0.68125,True
native,1.06875,1.5144230769230766,0.9692307692307691,0.7165384615384616,0.68125,True
native,1.06875,1.5144230769230766,0.9894230769230768,0.7302944711538462,0.68125,True
native,1.06875,1.5144230769230766,1.0096153846153846,0.7377403846153847,0.675,True
native,1.06875,1.5144230769230766,1.0298076923076922,0.7513701923076922,0.675,True
native,1.06875,1.5144230769230766,1.0499999999999998,0.765,0.675,True
native,1.06875,1.5144230769230766,1.0701923076923077,0.7906911057692307,0.66875,True
native,1.06875,1.5144230769230766,1.0903846153846153,0.7837499999999998,0.65,True
native,1.06875,1.5144230769230766,1.110576923076923,0.796875,0.65,True
native,1.06875,1.5144230769230766,1.1307692307692307,0.8099999999999998,0.65,True
native,1.06875,1.5144230769230766,1.1509615384615384,0.8346814903846154,0.64375,True
native,1.06875,1.5144230769230766,1.171153846153846,0.8476802884615384,0.64375,True
native,1.06875,1.5144230769230766,1.1913461538461536,0.8606790865384614,0.64375,True
native,1.06875,1.5144230769230766,1.2115384615384615,0.9072115384615383,0.625,True
native,1.06875,1.5144230769230766,1.231730769230769,0.9198317307692305,0.625,True
