regime,prevalence,cost_matrix,policy,knob,coverage,escalation_rate,false_reject_rate,false_accept_rate,cost_per_item
native,0.625,10/3/1,ours,2.446153846153846,1.0,0.0,1.0,0.0,1.125
native,0.625,10/3/1,naive,0.0,1.0,0.0,0.95,0.0,1.06875
native,0.625,10/3/1,naive,0.008433502793312073,0.975,0.025,0.9827586206896551,0.0,1.09375
native,0.625,10/3/1,naive,0.016867005586624146,0.9625,0.0375,0.9824561403508771,0.0,1.0875
native,0.625,10/3/1,naive,0.02530050837993622,0.94375,0.05625,1.0,0.0,1.0875
native,0.625,10/3/1,naive,0.03373401117324829,0.925,0.075,1.0,0.0,1.06875
native,0.625,10/3/1,naive,0.04216751396656036,0.91875,0.08125,1.0,0.0,1.05625
native,0.625,10/3/1,naive,0.05060101675987244,0.88125,0.11875,1.0,0.0,1.05625
native,0.625,10/3/1,naive,0.05903451955318451,0.84375,0.15625,1.0,0.0,1.05625
native,0.625,10/3/1,naive,0.06746802234649658,0.8125,0.1875,1.0,0.0,1.03125
native,0.625,10/3/1,naive,0.07590152513980866,0.775,0.225,1.0,0.0,1.0125
native,0.625,10/3/1,naive,0.08433502793312073,0.74375,0.25625,1.0,0.0,0.96875
native,0.625,10/3/1,naive,0.0927685307264328,0.70625,0.29375,1.0,0.0,0.93125
native,0.625,10/3/1,naive,0.10120203351974488,0.64375,0.35625,1.0,0.0,0.88125
native,0.625,10/3/1,naive,0.10963553631305695,0.6,0.4,1.0,0.0,0.85
native,0.625,10/3/1,naive,0.11806903910636903,0.58125,0.41875,1.0,0.0,0.85
native,0.625,10/3/1,naive,0.1265025418996811,0.54375,0.45625,1.0,0.0,0.83125
native,0.625,10/3/1,naive,0.13493604469299317,0.5,0.5,1.0,0.0,0.78125
native,0.625,10/3/1,naive,0.14336954748630523,0.46875,0.53125,1.0,0.0,0.79375
native,0.625,10/3/1,naive,0.15180305027961732,0.4375,0.5625,1.0,0.0,0.80625
native,0.625,10/3/1,naive,0.1602365530729294,0.425,0.575,1.0,0.0,0.81875
native,0.625,10/3/1,naive,0.16867005586624145,0.4,0.6,1.0,0.0,0.76875
native,0.625,10/3/1,naive,0.17710355865955354,0.39375,0.60625,1.0,0.0,0.775
native,0.625,10/3/1,naive,0.1855370614528656,0.35,0.65,1.0,0.0,0.725
native,0.625,10/3/1,naive,0.19397056424617767,0.325,0.675,1.0,0.0,0.73125
native,0.625,10/3/1,naive,0.20240406703948977,0.3,0.7,1.0,0.0,0.75625
native,0.625,10/3/1,naive,0.21083756983280183,0.29375,0.70625,1.0,0.0,0.74375
native,0.625,10/3/1,naive,0.2192710726261139,0.2875,0.7125,1.0,0.0,0.75
native,0.625,10/3/1,naive,0.22770457541942596,0.2875,0.7125,1.0,0.0,0.75
native,0.625,10/3/1,naive,0.23613807821273805,0.28125,0.71875,1.0,0.0,0.75625
native,0.625,10/3/1,naive,0.24457158100605011,0.25625,0.74375,1.0,0.0,0.7625
native,0.625,10/3/1,naive,0.2530050837993622,0.25,0.75,1.0,0.0,0.76875
native,0.625,10/3/1,naive,0.26143858659267427,0.24375,0.75625,1.0,0.0,0.775
native,0.625,10/3/1,naive,0.26987208938598634,0.24375,0.75625,1.0,0.0,0.775
native,0.625,10/3/1,naive,0.2783055921792984,0.24375,0.75625,1.0,0.0,0.775
native,0.625,10/3/1,naive,0.28673909497261046,0.2375,0.7625,1.0,0.0,0.78125
native,0.625,10/3/1,naive,0.29517259776592253,0.23125,0.76875,1.0,0.0,0.7875
native,0.625,10/3/1,naive,0.30360610055923465,0.23125,0.76875,1.0,0.0,0.7875
native,0.625,10/3/1,naive,0.3120396033525467,0.23125,0.76875,1.0,0.0,0.7875
native,0.625,10/3/1,naive,0.3204731061458588,0.23125,0.76875,1.0,0.0,0.7875
native,0.625,10/3/1,naive,0.32890660893917084,0.225,0.775,1.0,0.0,0.79375
native,0.625,10/3/1,naive,0.3373401117324829,0.225,0.775,1.0,0.0,0.79375
native,0.625,10/3/1,naive,0.34577361452579497,0.21875,0.78125,,0.0,0.78125
native,0.625,10/3/1,naive,0.3542071173191071,0.2125,0.7875,,0.0,0.7875
native,0.625,10/3/1,naive,0.36264062011241915,0.2125,0.7875,,0.0,0.7875
native,0.625,10/3/1,naive,0.3710741229057312,0.2125,0.7875,,0.0,0.7875
native,0.625,10/3/1,naive,0.3795076256990433,0.2125,0.7875,,0.0,0.7875
native,0.625,10/3/1,naive,0.38794112849235535,0.2125,0.7875,,0.0,0.7875
native,0.625,10/3/1,naive,0.3963746312856674,0.2125,0.7875,,0.0,0.7875
native,0.625,10/3/1,naive,0.40480813407897953,0.20625,0.79375,,0.0,0.79375
native,0.625,10/3/1,naive,0.4132416368722916,0.2,0.8,,0.0,0.8
native,0.625,10/3/1,naive,0.42167513966560366,0.19375,0.80625,,0.0,0.80625
native,0.625,10/3/1,naive,0.4301086424589157,0.19375,0.80625,,0.0,0.80625
native,0.625,10/3/1,naive,0.4385421452522278,0.18125,0.81875,,0.0,0.81875
native,0.625,10/3/1,naive,0.44697564804553985,0.16875,0.83125,,0.0,0.83125
native,0.625,10/3/1,naive,0.4554091508388519,0.16875,0.83125,,0.0,0.83125
native,0.625,10/3/1,naive,0.46384265363216404,0.15625,0.84375,,0.0,0.84375
native,0.625,10/3/1,naive,0.4722761564254761,0.14375,0.85625,,0.0,0.85625
native,0.625,10/3/1,naive,0.48070965921878817,0.14375,0.85625,,0.0,0.85625
